order_date,Anzahl,Stadt,Bundesland
2015-01-07T00:00:00Z,1,Hamburg,Hamburg
2015-01-07T00:00:00Z,1,Hamburg,Hamburg
2015-01-10T00:00:00Z,1,Bremen,Bremen
2015-01-10T00:00:00Z,1,Bremen,Bremen
2015-01-10T00:00:00Z,1,Stuttgart,Baden-Württemberg
2015-01-10T00:00:00Z,1,Stuttgart,Baden-Württemberg
2015-01-10T00:00:00Z,1,Stuttgart,Baden-Württemberg
2015-01-10T00:00:00Z,1,Stuttgart,Baden-Württemberg
2015-01-10T00:00:00Z,1,Stuttgart,Baden-Württemberg
2015-01-11T00:00:00Z,1,Augsburg,Bavaria
2015-01-11T00:00:00Z,1,Dortmund,North Rhine-Westphalia
2015-01-11T00:00:00Z,2,Dortmund,North Rhine-Westphalia
2015-01-11T00:00:00Z,1,Dortmund,North Rhine-Westphalia
2015-01-11T00:00:00Z,1,Dortmund,North Rhine-Westphalia
2015-01-11T00:00:00Z,1,Wuppertal,North Rhine-Westphalia
2015-01-11T00:00:00Z,1,Wuppertal,North Rhine-Westphalia
2015-01-11T00:00:00Z,1,Wuppertal,North Rhine-Westphalia
2015-01-11T00:00:00Z,1,Wuppertal,North Rhine-Westphalia
2015-01-12T00:00:00Z,1,Essen,North Rhine-Westphalia
2015-01-12T00:00:00Z,1,Essen,North Rhine-Westphalia
2015-01-12T00:00:00Z,1,Essen,North Rhine-Westphalia
2015-01-12T00:00:00Z,1,Essen,North Rhine-Westphalia
2015-01-12T00:00:00Z,1,Essen,North Rhine-Westphalia
2015-01-12T00:00:00Z,1,Essen,North Rhine-Westphalia
2015-01-12T00:00:00Z,1,Essen,North Rhine-Westphalia
2015-01-12T00:00:00Z,1,Essen,North Rhine-Westphalia
2015-01-12T00:00:00Z,1,Essen,North Rhine-Westphalia
2015-01-12T00:00:00Z,2,Essen,North Rhine-Westphalia
2015-01-12T00:00:00Z,1,Essen,North Rhine-Westphalia
2015-01-12T00:00:00Z,1,Essen,North Rhine-Westphalia
2015-01-12T00:00:00Z,1,Essen,North Rhine-Westphalia
2015-01-12T00:00:00Z,2,Essen,North Rhine-Westphalia
2015-01-12T00:00:00Z,1,Wuppertal,North Rhine-Westphalia
2015-01-12T00:00:00Z,3,Wuppertal,North Rhine-Westphalia
2015-01-17T00:00:00Z,1,Braunschweig,Lower Saxony
2015-01-17T00:00:00Z,2,Braunschweig,Lower Saxony
2015-01-17T00:00:00Z,1,Braunschweig,Lower Saxony
2015-01-17T00:00:00Z,1,Braunschweig,Lower Saxony
